"Event"	"Reference (Event)"	"ID (Site)"	"ID (Dataset)"	"Site"	"Longitude"	"Latitude"	"Continent"	"Significance T air (July), full dataset Holocene period (WA-PLS)"	"Significance T air (July), full dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, full dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, full dataset (WA-PLS)"	"Significance T air (July), full dataset Holocene period (MAT)"	"Significance T air (July) when partial out annual precip, full dataset Holocene period (MAT)"	"Significance T air (annual mean), full dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), full dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, full dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, full dataset (WA-PLS)"	"Significance T air (annual mean), full dataset Holocene period (MAT)"	"Significance T air (annual mean) when partial out annual precip, full dataset Holocene period (MAT)"	"Significance Precip annual total, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total, full dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, full dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, full dataset (WA-PLS)"	"Significance Precip annual total, full dataset Holocene period (MAT)"	"Significance Precip annual total when partial out July mean temp, full dataset Holocene period (MAT)"	"Significance Precip annual total when partial out annual mean temp, full dataset Holocene period (MAT)"	"Significance T air (July), July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July), July temperature-tailored dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, July temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, July temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, July temperature-tailored dataset (WA-PLS)"	"Significance T air (annual mean), annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), annual mean temperature-tailored dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual mean temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, annual mean temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual mean temperature-tailored dataset (WA-PLS)"	"Significance T air (July), annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July), annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (annual mean), annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual precipitation-tailored dataset (WA-PLS)"
"3PINES"	"Neotoma"	7	7	"Three Pines Bog"	-80.116667	47	"Eastern North America"	0.005	0.004	0.002	0.006	0.148	0.022	0.044	0.063	0.005	0.008	0.705	0.302	0.3	0.283	0.082	0.071	0.011	0.014	0.519	0.09	0.242	0.369	0.391	0.702	0.714	0.002	0.004	0.008	0.012	0.89	0.897	0.705	0.706	0.002	0.003	0.001	0.001	0.002	0.008	0.002	0.001	0.168	0.177	0.017	0.015	0.013	0.014	0.009	0.008	0.003	0.001
"ALEXLAKE"	"Neotoma"	24	24	"Alexander Lake"	-60.583333	53.333333	"Eastern North America"	0.554	0.583	0.731	0.723	0.752	0.892	0.638	0.646	0.364	0.433	0.755	0.867	0.279	0.29	0.436	0.406	0.277	0.249	0.78	0.904	0.883	0.405	0.435	0.626	0.596	0.357	0.345	0.515	0.499	0.357	0.339	0.744	0.757	0.267	0.295	0.502	0.513	0.561	0.57	0.711	0.704	0.539	0.546	0.454	0.434	0.283	0.267	0.408	0.377	0.316	0.288
"ALEXISLK"	"Neotoma"	25	25	"Alexis Lake"	-57.033333	52.516667	"Eastern North America"	0.302	0.074	0.46	0.238	0.391	0.636	0.801	0.867	0.231	0.285	0.534	0.532	0.494	0.247	0.639	0.85	0.209	0.147	0.422	0.696	0.718	0.183	0.031	0.194	0.03	0.379	0.257	0.252	0.217	0.548	0.819	0.638	0.252	0.408	0.357	0.516	0.184	0.353	0.085	0.643	0.333	0.7	0.929	0.203	0.302	0.485	0.271	0.815	0.885	0.212	0.149
"ALIUK"	"Neotoma"	27	27	"Aliuk Pond"	-57.366667	54.583333	"Eastern North America"	0.301	0.332	0.18	0.167	0.4	0.452	0.761	0.716	0.042	0.04	0.024	0.379	0.105	0.082	0.063	0.068	0.001	0.002	0.006	0.026	0.441	0.234	0.236	0.652	0.637	0.082	0.091	0.676	0.652	0.232	0.2	0.574	0.587	0.033	0.042	0.144	0.085	0.376	0.389	0.043	0.029	0.568	0.543	0.137	0.147	0.053	0.051	0.01	0.013	0.01	0.008
"ANDERSLK"	"Neotoma"	202	202	"Anderson Lake"	-92.716667	46.416667	"Eastern North America"	0.342	0.032	0.45	0.289	0.069	0.284	0.223	0.002	0.281	0.171	0.032	0.12	0.855	0.036	0.975	0.944	0.738	0.982	0.132	0.581	0.52	0.222	0.021	0.518	0.233	0.41	0.043	0.962	0.877	0.265	0.016	0.257	0.071	0.982	0.297	0.984	0.861	0.255	0.006	0.368	0.159	0.108	0.001	0.027	0.106	0.041	0.188	0.109	0.298	0.106	0.528
"ANDERSON"	"Neotoma"	203	203	"Anderson Pond"	-85.50132	36.03015	"Eastern North America"	0.684	0.004	0.731	0.338	0.002	0.001	0.591	0.028	0.602	0.716	0.087	0.001	0.469	0.022	0.574	0.852	0.515	0.614	0.482	0.121	0.005	0.404	0.001	0.23	0.466	0.204	0.001	0.183	0.269	0.216	0.001	0.149	0.368	0.218	0.001	0.211	0.252	0.734	0.002	0.811	0.57	0.657	0.003	0.875	0.613	0.365	0.012	0.567	0.493	0.662	0.462
"ANDREE"	"Neotoma"	204	204	"Andree Bog"	-93.25	45.725	"Eastern North America"	0.027	0.006	0.036	0.009	0.016	0.055	0.006	0.001	0.011	0.001	0.009	0.033	0.035	0.029	0.51	0.203	0.647	0.528	0.701	0.772	0.716	0.005	0.004	0.006	0.008	0.121	0.037	0.21	0.225	0.009	0.001	0.009	0.001	0.713	0.456	0.231	0.256	0.004	0.001	0.021	0.001	0.001	0.001	0.001	0.001	0.122	0.059	0.34	0.338	0.343	0.392
"ANDRUSC2"	"Neotoma"	205	205	"Andrus Lake"	-85.039045	46.701685	"Eastern North America"	0.591	0.572	0.482	0.475	0.613	0.65	0.643	0.654	0.377	0.389	0.156	0.192	0.197	0.198	0.221	0.203	0.169	0.166	0.338	0.698	0.454	0.848	0.874	0.655	0.685	0.085	0.084	0.088	0.104	0.83	0.846	0.987	0.99	0.238	0.207	0.487	0.497	0.364	0.333	0.448	0.459	0.847	0.821	0.952	0.936	0.567	0.612	0.627	0.646	0.826	0.795
"ANGE"	"Neotoma"	208	209	"Lac a l'Ange"	-70.684722	47.481667	"Eastern North America"	0.166	0.008	0.679	0.051	0.001	0.003	0.075	0.016	0.3	0.279	0.013	0.033	0.002	0.031	0.023	0.001	0.084	0.088	0.163	0.081	0.114	0.044	0.002	0.403	0.002	0.002	0.009	0.074	0.001	0.015	0.001	0.294	0.008	0.001	0.007	0.099	0.007	0.094	0.011	0.702	0.099	0.064	0.014	0.304	0.405	0.002	0.003	0.065	0.001	0.071	0.05
"ARRINGTO"	"Neotoma"	213	214	"Arrington Marsh"	-95.526667	39.495	"Eastern North America"	NA	0.016	NA	0.015	NA	NA	NA	0.009	NA	0.012	NA	NA	NA	0.046	NA	0.011	NA	0.005	NA	NA	NA	NA	0.459	NA	0.485	NA	0.754	NA	0.837	NA	0.001	NA	0.001	NA	0.129	NA	0.806	NA	0.021	NA	0.028	NA	0.001	NA	0.001	NA	0.94	NA	0.918	NA	0.823
