"Event"	"Reference (Event)"	"ID (Site)"	"ID (Dataset)"	"Site"	"Longitude"	"Latitude"	"Continent"	"Significance T air (July), full dataset Holocene period (WA-PLS)"	"Significance T air (July), full dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, full dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, full dataset (WA-PLS)"	"Significance T air (July), full dataset Holocene period (MAT)"	"Significance T air (July) when partial out annual precip, full dataset Holocene period (MAT)"	"Significance T air (annual mean), full dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), full dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, full dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, full dataset (WA-PLS)"	"Significance T air (annual mean), full dataset Holocene period (MAT)"	"Significance T air (annual mean) when partial out annual precip, full dataset Holocene period (MAT)"	"Significance Precip annual total, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total, full dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, full dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, full dataset (WA-PLS)"	"Significance Precip annual total, full dataset Holocene period (MAT)"	"Significance Precip annual total when partial out July mean temp, full dataset Holocene period (MAT)"	"Significance Precip annual total when partial out annual mean temp, full dataset Holocene period (MAT)"	"Significance T air (July), July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July), July temperature-tailored dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, July temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, July temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, July temperature-tailored dataset (WA-PLS)"	"Significance T air (annual mean), annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), annual mean temperature-tailored dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual mean temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, annual mean temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual mean temperature-tailored dataset (WA-PLS)"	"Significance T air (July), annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July), annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (annual mean), annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual precipitation-tailored dataset (WA-PLS)"
"ATO"	"Neotoma"	217	219	"Lac des Atocas"	-73.311111	45.543056	"Eastern North America"	0.809	0.233	0.313	0.001	0.148	0.088	0.368	0.054	0.183	0.001	0.082	0.102	0.132	0.044	0.14	0.048	0.157	0.068	0.002	0.004	0.011	0.765	0.182	0.087	0.001	0.032	0.009	0.026	0.011	0.033	0.002	0.012	0.001	0.005	0.002	0.011	0.002	0.811	0.223	0.137	0.001	0.229	0.034	0.042	0.001	0.016	0.01	0.031	0.005	0.044	0.01
"AXELAKE"	"Neotoma"	219	221	"Axe Lake"	-79.51	45.38	"Eastern North America"	0.166	0.181	0.065	0.046	0.387	0.278	0.2	0.216	0.193	0.207	0.299	0.155	0.197	0.183	0.079	0.103	0.23	0.252	0.273	0.237	0.174	0.894	0.905	0.423	0.456	0.082	0.076	0.038	0.047	0.034	0.042	0.583	0.576	0.023	0.019	0.435	0.434	0.174	0.177	0.024	0.03	0.18	0.171	0.2	0.165	0.06	0.062	0.038	0.041	0.151	0.144
"BAIRDIN"	"Neotoma"	222	224	"Baird Inlet [Rock Basin Lake]"	-76.78	78.491667	"Eastern North America"	0.111	0.108	0.009	0.018	0.118	0.046	0.172	0.187	0.124	0.156	0.503	0.081	0.308	0.305	0.008	0.009	0.203	0.234	0.647	0.557	0.139	0.096	0.102	0.008	0.007	0.313	0.321	0.009	0.013	0.14	0.137	0.005	0.006	0.466	0.444	0.03	0.03	0.103	0.106	0.008	0.009	0.185	0.18	0.008	0.014	0.365	0.34	0.005	0.01	0.01	0.005
"BARCHAMP"	"Neotoma"	229	232	"Barchampe Lake"	-83.253889	30.622222	"Eastern North America"	0.461	0.471	0.52	0.519	0.209	0.201	0.191	0.148	0.638	0.624	0.052	0.063	0.019	0.022	0.016	0.02	0.034	0.029	0.783	0.446	0.302	0.565	0.579	0.422	0.42	0.002	0.005	0.002	0.003	0.23	0.245	0.486	0.488	0.011	0.02	0.032	0.044	0.53	0.555	0.548	0.549	0.261	0.257	0.608	0.601	0.042	0.029	0.024	0.03	0.052	0.034
"BASEBALL"	"Neotoma"	233	236	"Baseball Bog"	-79.78	47.23	"Eastern North America"	0.54	0.531	0.404	0.355	0.004	0.003	0.465	0.461	0.394	0.379	0.012	0.025	0.5	0.482	0.369	0.359	0.453	0.439	0.412	0.864	0.762	0.597	0.547	0.496	0.488	0.752	0.773	0.551	0.567	0.66	0.669	0.588	0.551	0.7	0.729	0.577	0.587	0.568	0.594	0.528	0.546	0.389	0.425	0.433	0.387	0.708	0.64	0.657	0.601	0.698	0.666
"BASTIEN"	"Neotoma"	235	238	"Lac Bastien"	-78.916667	46.4	"Eastern North America"	0.02	0.019	0.004	0.004	0.041	0.052	0.356	0.377	0.011	0.013	0.418	0.033	0.115	0.106	0.033	0.03	0.018	0.013	0.007	0.015	0.004	0.621	0.592	0.43	0.43	0.002	0.001	0.001	0.001	0.19	0.206	0.059	0.049	0.002	0.001	0.002	0.002	0.028	0.025	0.074	0.07	0.55	0.537	0.016	0.016	0.01	0.014	0.118	0.139	0.004	0.002
"BATTAGLI"	"Neotoma"	237	240	"Battaglia Bog"	-81.328611	41.143889	"Eastern North America"	NA	0.021	NA	0.286	NA	NA	NA	0.013	NA	0.192	NA	NA	NA	0.045	NA	0.322	NA	0.218	NA	NA	NA	NA	0.034	NA	0.139	NA	0.001	NA	0.046	NA	0.005	NA	0.071	NA	0.003	NA	0.043	NA	0.007	NA	0.35	NA	0.003	NA	0.274	NA	0.128	NA	0.479	NA	0.439
"BEARBOG"	"Neotoma"	242	245	"Bear Bog"	-80.16	47.18	"Eastern North America"	0.325	0.329	0.269	0.271	0.082	0.13	0.23	0.206	0.214	0.219	0.056	0.095	0.479	0.5	0.437	0.434	0.561	0.561	0.296	0.852	0.616	0.752	0.721	0.793	0.784	0.851	0.831	0.835	0.815	0.722	0.706	0.697	0.696	0.529	0.504	0.557	0.541	0.402	0.408	0.427	0.424	0.302	0.246	0.279	0.285	0.894	0.873	0.868	0.868	0.912	0.885
"BELMONT"	"Neotoma"	249	254	"Belmont Bog"	-77.916667	42.25	"Eastern North America"	0.889	0.205	0.901	0.852	0.987	0.954	0.741	0.016	0.811	0.601	0.184	0.766	0.449	0.007	0.482	0.031	0.515	0.224	0.024	0.032	0.333	0.301	0.701	0.279	0.548	0.008	0.003	0.036	0.004	0.034	0.003	0.257	0.307	0.026	0.001	0.259	0.151	0.857	0.239	0.812	0.769	0.557	0.019	0.853	0.729	0.263	0.002	0.255	0.009	0.523	0.178
"BER_neotoma"	"Neotoma"	252	258	"Bereziuk"	-76.120278	54.047222	"Eastern North America"	0.062	0.064	0.504	0.511	0.001	0.003	0.086	0.112	0.725	0.731	0.009	0.001	0.001	0.001	0.294	0.27	0.359	0.316	0.124	0.245	0.012	0.001	0.001	0.178	0.18	0.035	0.04	0.477	0.498	0.001	0.001	0.001	0.001	0.984	0.98	0.871	0.885	0.045	0.036	0.232	0.241	0.005	0.003	0.235	0.251	0.147	0.172	0.532	0.494	0.636	0.63
"BERRYPND"	"Neotoma"	254	260	"Berry Pond"	-73.316667	42.5	"Eastern North America"	0.077	0.09	0.003	0.01	0.004	0.001	0.008	0.01	0.004	0.008	0.001	0.001	0.07	0.079	0.077	0.039	0.12	0.073	0.004	0.001	0.001	0.044	0.08	0.116	0.092	0.283	0.275	0.06	0.005	0.001	0.001	0.002	0.001	0.047	0.076	0.084	0.082	0.056	0.044	0.007	0.006	0.002	0.001	0.003	0.004	0.037	0.049	0.025	0.023	0.094	0.062
"BIGGSVIL"	"Neotoma"	265	271	"Biggsville [Cessford Quarry]"	-90.88	40.855556	"Eastern North America"	NA	0.018	NA	0.012	NA	NA	NA	0.003	NA	0.002	NA	NA	NA	0.572	NA	0.261	NA	0.222	NA	NA	NA	NA	0.007	NA	0.126	NA	0.173	NA	0.318	NA	0.001	NA	0.078	NA	0.057	NA	0.487	NA	0.032	NA	0.083	NA	0.001	NA	0.004	NA	0.333	NA	0.764	NA	0.914
"BIGJOHN"	"Neotoma"	266	272	"Big John Pond"	-94.970775	47.559175	"Eastern North America"	0.045	0.054	0.027	0.032	0.072	0.063	0.401	0.436	0.252	0.253	0.116	0.163	0.54	0.519	0.068	0.07	0.264	0.245	0.944	0.703	0.717	0.115	0.128	0.03	0.04	0.53	0.54	0.053	0.049	0.16	0.195	0.047	0.044	0.436	0.459	0.074	0.054	0.32	0.303	0.661	0.717	0.868	0.85	0.869	0.865	0.359	0.364	0.808	0.815	0.413	0.384
"BILLYS"	"Neotoma"	269	275	"Billy's Lake"	-94.551555	46.27058	"Eastern North America"	0.272	0.253	0.01	0.014	0.724	0.096	0.281	0.264	0.09	0.083	0.676	0.064	0.014	0.014	0.001	0.001	0.004	0.006	0.021	0.008	0.006	0.019	0.035	0.003	0.002	0.003	0.001	0.001	0.001	0.283	0.28	0.118	0.146	0.005	0.003	0.005	0.005	0.31	0.305	0.139	0.121	0.498	0.519	0.371	0.376	0.003	0.003	0.007	0.008	0.001	0.001
"BLACKPND"	"Neotoma"	272	278	"Black Pond"	-84.186667	35.620833	"Eastern North America"	0.351	0.314	0.782	0.783	0.314	0.577	0.13	0.144	0.547	0.554	0.162	0.21	0.154	0.155	0.285	0.291	0.645	0.695	0.383	0.589	0.63	0.925	0.929	0.18	0.18	0.249	0.246	0.112	0.085	0.716	0.707	0.637	0.603	0.283	0.292	0.325	0.278	0.27	0.319	0.293	0.326	0.089	0.114	0.625	0.635	0.033	0.026	0.03	0.028	0.129	0.129
"BLBIGBEE"	"Neotoma"	275	281	"BL-Tombigbee"	-88.474444	33.563333	"Eastern North America"	0.41	0.392	0.443	0.453	0.001	0.153	0.373	0.29	0.213	0.164	0.001	0.014	0.547	0.519	0.385	0.373	0.148	0.15	0.011	0.235	0.055	0.093	0.068	0.048	0.036	0.383	0.344	0.092	0.062	0.035	0.019	0.01	0.006	0.386	0.358	0.027	0.017	0.138	0.094	0.97	0.981	0.053	0.036	0.792	0.857	0.061	0.051	0.561	0.586	0.916	0.924
"BLUMOUND"	"Neotoma"	281	287	"Blue Mounds Creek"	-89.866667	43.083333	"Eastern North America"	0.014	0.016	0.017	0.017	0.001	0.001	0.003	0.001	0.001	0.003	0.001	0.001	0.543	0.563	0.157	0.137	0.105	0.123	0.172	0.912	0.442	0.031	0.027	0.023	0.017	0.764	0.785	0.12	0.103	0.002	0.001	0.003	0.002	0.89	0.895	0.133	0.151	0.008	0.004	0.033	0.027	0.001	0.001	0.001	0.001	0.38	0.371	0.273	0.262	0.07	0.084
"BOGD"	"Neotoma"	292	298	"Bog D Pond"	-95.162675	47.1775	"Eastern North America"	0.006	0.009	0.007	0.015	0.594	0.266	0.363	0.271	0.296	0.24	0.876	0.198	0.175	0.17	0.001	0.001	0.033	0.094	0.194	0.061	0.028	0.001	0.009	0.003	0.018	0.094	0.091	0.001	0.001	0.007	0.016	0.005	0.009	0.094	0.098	0.001	0.004	0.021	0.024	0.001	0.002	0.499	0.406	0.32	0.279	0.061	0.073	0.001	0.001	0.001	0.025
"BORDER"	"Neotoma"	297	303	"Border Beacon"	-63.2	55.333333	"Eastern North America"	0.279	0.263	0.575	0.596	0.926	0.878	0.892	0.882	0.267	0.281	0.303	0.182	0.305	0.298	0.677	0.682	0.126	0.122	0.007	0.012	0.007	0.74	0.754	0.349	0.37	0.113	0.091	0.05	0.039	0.22	0.21	0.511	0.478	0.081	0.07	0.136	0.136	0.521	0.512	0.978	0.964	0.945	0.928	0.536	0.581	0.219	0.245	0.355	0.358	0.182	0.175
"BORIACKB"	"Neotoma"	298	304	"Boriack Bog"	-97.126111	30.36	"Eastern North America"	0.328	0.184	0.051	0.101	0.002	0.002	0.249	0.07	0.017	0.025	0.006	0.013	0.614	0.745	0.036	0.243	0.033	0.089	0.407	0.28	0.499	0.073	0.01	0.001	0.002	0.561	0.846	0.015	0.112	0.124	0.023	0.006	0.002	0.553	0.88	0.04	0.043	0.934	0.772	0.822	0.898	0.494	0.215	0.047	0.401	0.867	0.279	0.715	0.441	0.107	0.904
"BOUC"	"Neotoma"	300	306	"Lac Boucane"	-69.452778	47.457778	"Eastern North America"	0.02	0.059	0.603	0.643	0.012	0.734	0.009	0.01	0.715	0.521	0.004	0.542	0.006	0.005	0.422	0.24	0.691	0.418	0.011	0.576	0.669	0.076	0.113	0.753	0.683	0.054	0.01	0.64	0.328	0.002	0.001	0.627	0.556	0.041	0.008	0.719	0.619	0.018	0.046	0.608	0.686	0.005	0.014	0.613	0.427	0.003	0.001	0.498	0.274	0.668	0.347
"BOUNDAR"	"Neotoma"	301	307	"Boundary Lake"	-67.4	55.25	"Eastern North America"	0.937	0.944	0.898	0.919	0.197	0.083	0.69	0.711	0.456	0.411	0.963	0.041	0.476	0.429	0.469	0.432	0.317	0.28	0.003	0.006	0.001	0.8	0.817	0.419	0.445	0.482	0.433	0.15	0.176	0.685	0.672	0.807	0.777	0.171	0.152	0.225	0.222	0.948	0.943	0.926	0.922	0.769	0.739	0.483	0.427	0.204	0.193	0.234	0.222	0.161	0.15
"BOUNDARY"	"Neotoma"	302	308	"Boundary Pond"	-70.675	45.566667	"Eastern North America"	0.068	0.206	0.001	0.001	0.468	0.071	0.19	0.068	0.002	0.001	0.467	0.1	0.139	0.044	0.069	0.031	0.055	0.025	0.012	0.005	0.005	0.015	0.188	0.001	0.002	0.025	0.163	0.078	0.03	0.105	0.103	0.006	0.208	0.001	0.127	0.001	0.003	0.036	0.293	0.001	0.002	0.233	0.105	0.002	0.004	0.053	0.022	0.039	0.005	0.028	0.004
"BRANDRET"	"Neotoma"	303	309	"Brandreth Bog"	-74.683333	43.916667	"Eastern North America"	0.22	0.251	0.017	0.001	0.318	0.177	0.435	0.367	0.014	0.001	0.372	0.216	0.207	0.218	0.294	0.226	0.172	0.152	0.017	0.023	0.017	0.408	0.341	0.011	0.014	0.008	0.005	0.01	0.007	0.082	0.023	0.001	0.001	0.001	0.003	0.001	0.002	0.239	0.29	0.04	0.016	0.443	0.306	0.021	0.002	0.057	0.086	0.174	0.12	0.082	0.06
"BRI2"	"Neotoma"	304	311	"Brisay 2"	-70.357778	54.355833	"Eastern North America"	0.643	0.649	0.686	0.717	0.078	0.228	0.231	0.231	0.334	0.346	0.284	0.619	0.055	0.062	0.07	0.073	0.123	0.118	0.164	0.588	0.788	0.177	0.195	0.096	0.083	0.022	0.021	0.002	0.001	0.248	0.248	0.643	0.61	0.297	0.274	0.644	0.671	0.585	0.555	0.956	0.954	0.515	0.526	0.279	0.276	0.016	0.023	0.031	0.025	0.018	0.019
"BROPHY"	"Neotoma"	305	312	"Brophy Ditch"	-81.73	43.22	"Eastern North America"	0.377	0.343	0.145	0.138	0.181	0.243	0.146	0.153	0.071	0.069	0.072	0.096	0.432	0.44	0.435	0.45	0.504	0.488	0.534	0.473	0.42	0.361	0.347	0.162	0.164	0.077	0.074	0.24	0.245	0.014	0.016	0.036	0.053	0.144	0.179	0.455	0.436	0.149	0.15	0.018	0.027	0.042	0.04	0.002	0.003	0.212	0.226	0.307	0.313	0.347	0.362
"BROWNC12"	"Neotoma"	306	313	"Brown Lake"	-89.49247	45.77978	"Eastern North America"	0.628	0.643	0.676	0.66	0.469	0.395	0.782	0.772	0.31	0.349	0.177	0.075	0.454	0.472	0.455	0.486	0.122	0.112	0.175	0.187	0.138	0.843	0.851	0.455	0.44	0.273	0.253	0.066	0.054	0.6	0.602	0.728	0.752	0.267	0.274	0.343	0.305	0.785	0.781	0.55	0.554	0.792	0.792	0.769	0.801	0.02	0.027	0.026	0.036	0.083	0.085
"BROWNSBY"	"Neotoma"	307	314	"Brown's Bay, Lake Minnetonka"	-93.545105	44.95769	"Eastern North America"	0.067	0.057	0.049	0.056	0.049	0.13	0.316	0.338	0.26	0.28	0.13	0.226	0.448	0.428	0.061	0.052	0.232	0.248	0.284	0.983	0.847	0.077	0.08	0.099	0.098	0.58	0.573	0.213	0.208	0.083	0.077	0.095	0.091	0.353	0.36	0.074	0.069	0.032	0.028	0.042	0.041	0.036	0.036	0.058	0.048	0.516	0.514	0.182	0.18	0.205	0.181
"BROWNSLK"	"Neotoma"	308	315	"Brown Lake"	-82.0625	40.680556	"Eastern North America"	0.153	0.002	0.31	0.012	0.442	0.317	0.246	0.001	0.824	0.002	0.113	0.1	0.288	0.455	0.526	0.223	0.628	0.131	0.305	0.319	0.595	0.109	0.009	0.306	0.033	0.207	0.266	0.889	0.119	0.184	0.002	0.927	0.005	0.163	0.336	0.539	0.022	0.304	0.009	0.474	0.079	0.427	0.002	0.992	0.004	0.565	0.214	0.722	0.694	0.493	0.34
