"Event"	"Reference (Event)"	"ID (Site)"	"ID (Dataset)"	"Site"	"Longitude"	"Latitude"	"Continent"	"modern training sites [#], full dataset"	"minimum modern T air (July) [°C], full dataset"	"maximum modern T air (July) [°C], full dataset"	"minimum modern T air (annual mean) [°C], full dataset"	"maximum modern T air (annual mean) [°C], full dataset"	"minimum modern Precip annual total [mm/a], full dataset"	"maximum modern Precip annual total [mm/a], full dataset"	"WA-PLS component T air (July), full dataset"	"WA-PLS r2 observed vs. predicted T air (July), full dataset"	"WA-PLS RMSEP T air (July), full dataset"	"MAT r2 observed vs. predicted T air (July), full dataset"	"MAT RMSEP T air (July), full dataset"	"WA-PLS component T air (annual mean), full dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), full dataset"	"WA-PLS RMSEP T air (annual mean), full dataset"	"MAT r2 observed vs. predicted T air (annual mean), full dataset"	"MAT RMSEP T air (annual mean), full dataset"	"WA-PLS component Precip annual total, full dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, full dataset"	"WA-PLS RMSEP Precip annual total, full dataset"	"MAT r2 observed vs. predicted Precip annual total, full dataset"	"MAT RMSEP Precip annual total, full dataset"	"minimum modern T air (July) [°C], after tailoring"	"maximum modern T air (July) [°C], after tailoring"	"minimum modern T air (annual mean) [°C], after tailoring"	"maximum modern T air (annual mean) [°C], after tailoring"	"minimum modern Precip annual total [mm/a], after tailoring"	"maximum modern Precip annual total [mm/a], after tailoring"	"modern training sites [#], July temperature-tailored dataset"	"minimum modern T air (July) [°C], July temperature-tailored dataset"	"maximum modern T air (July) [°C], July temperature-tailored dataset"	"minimum modern Precip annual total [mm/a], July temperature-tailored dataset"	"maximum modern Precip annual total [mm/a], July temperature-tailored dataset"	"WA-PLS component T air (July), July temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (July), July temperature-tailored dataset"	"WA-PLS RMSEP T air (July), July temperature-tailored dataset"	"WA-PLS component Precip annual total, July temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, July temperature-tailored dataset"	"WA-PLS RMSEP Precip annual total, July temperature-tailored dataset"	"modern training sites [#], annual mean temperature-tailored dataset"	"minimum modern T air (annual mean) [°C], annual mean temperature-tailored dataset"	"maximum modern T air (annual mean) [°C], annual mean temperature-tailored dataset"	"minimum modern Precip annual total [mm/a], annual mean temperature-tailored dataset"	"maximum modern Precip annual total [mm/a], annual mean temperature-tailored dataset"	"WA-PLS component T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS RMSEP T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS component Precip annual total, annual mean temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, annual mean temperature-tailored dataset"	"WA-PLS RMSEP Precip annual total, annual mean temperature-tailored dataset"	"modern training sites [#], annual precipitation-tailored dataset"	"minimum modern T air (July) [°C], annual precipitation-tailored dataset"	"maximum modern T air (July) [°C], annual precipitation-tailored dataset"	"minimum modern T air (annual mean) [°C], annual precipitation-tailored dataset"	"maximum modern T air (annual mean) [°C], annual precipitation-tailored dataset"	"minimum modern Precip annual total [mm/a], annual precipitation-tailored dataset"	"maximum modern Precip annual total [mm/a], annual precipitation-tailored dataset"	"WA-PLS component T air (July), annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (July), annual precipitation-tailored dataset"	"WA-PLS RMSEP T air (July), annual precipitation-tailored dataset"	"WA-PLS component T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS RMSEP T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS component Precip annual total, annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, annual precipitation-tailored dataset"	"WA-PLS RMSEP Precip annual total, annual precipitation-tailored dataset"
"BLUD"	"Neotoma"	278	284	"Bludlivaya River"	148.4	69.066667	"Asia"	904	-2.5	18.7	-18.4	-0.4	130	1058	2	0.47	2.47	0.64	2.05	2	0.47	2.7	0.56	2.45	1	0.43	91.8	0.58	78.64	11	14.7	-14.1	-11.7	225	276	371	11.1	14.7	148	925	1	0.13	0.88	2	0.5	85.61	282	-14.1	-11.7	148	386	1	0.23	0.54	1	0.22	48.45	270	5.9	18.7	-16.5	-5.3	225	275	1	0.57	2.14	2	0.44	1.68	1	0.23	13.72
"BOLOTNYI"	"Neotoma"	293	299	"Bolotnyii Stream Exposure 117"	132.783333	42.85	"Asia"	1588	8.2	28.5	-10	19.1	107	3486	2	0.55	2.2	0.69	1.85	2	0.71	2.91	0.82	2.34	2	0.84	253.83	0.89	209.56	15.2	21.1	-3.6	5.7	359	869	967	15.3	21	197	3486	2	0.31	1.27	2	0.85	216.71	897	-3.5	5.7	107	2192	2	0.45	1.8	2	0.86	138.48	765	12	27.6	-9.8	14.6	360	866	2	0.5	2.08	2	0.6	2.78	2	0.74	72.83
"Byllatskoye"	"Neotoma"	320	327	"Byllatskoye Exposure, Byllat River, Indigirka Basin"	140.0625	69.165278	"Asia"	899	-2.5	18.7	-18.4	-0.4	136	1058	2	0.47	2.49	0.62	2.1	2	0.54	2.59	0.59	2.43	1	0.45	93.58	0.6	79.4	11.4	13.6	-13.3	-11.5	256	287	242	11.5	13.5	148	925	1	0.08	0.52	1	0.51	81.71	182	-13.3	-11.6	148	385	1	0.17	0.43	1	0.3	52.8	178	6.1	18.7	-16.5	-7.7	256	287	1	0.56	2.46	1	0.51	1.41	1	0.1	8.54
"CAMPING"	"Neotoma"	328	335	"Chistoye Lake Exposure"	151.833333	59.55	"Asia"	979	0.9	22.5	-16.5	8.1	136	1411	2	0.5	2.54	0.63	2.16	1	0.77	3.23	0.82	2.87	1	0.81	126.3	0.85	113.41	9.3	15.4	-12.7	-7.7	234	431	515	9.3	15.4	148	1411	1	0.21	1.44	2	0.72	111.04	346	-12.7	-7.7	148	644	1	0.35	0.94	2	0.34	61.19	447	0.9	18.7	-16.5	-3.3	234	422	1	0.47	2.34	1	0.28	2.19	1	0.28	47.33
"CHABADA2"	"Neotoma"	346	354	"Chabada Lake"	129.377875	61.976835	"Asia"	1212	2.7	24.1	-16.5	6.3	136	1063	1	0.56	2.53	0.7	2.08	1	0.69	3.24	0.76	2.9	1	0.65	100.51	0.73	88.1	12.7	18.4	-11	-3.3	274	510	656	12.7	18.3	149	1063	1	0.37	1.35	2	0.72	95.63	375	-11	-3.3	236	904	1	0.43	2.12	1	0.33	84.13	536	5.1	24.1	-15.1	6.3	275	510	2	0.64	2.21	2	0.72	2.58	1	0.26	60.98
"CHERYAR"	"Neotoma"	356	364	"Chernyii Yar Exposure 955"	134.433333	43.183333	"Asia"	1572	8.2	28.5	-10	19.1	107	3486	2	0.55	2.23	0.69	1.85	2	0.71	2.91	0.82	2.34	2	0.84	255.13	0.89	209.61	17.9	20.6	1.5	7	684	1054	567	18	20.6	233	3486	1	0.03	0.69	2	0.83	215.82	698	1.5	7	107	2209	2	0.31	1.22	2	0.87	165.35	325	8.7	28.5	-4.6	16.1	685	1053	2	0.69	1.76	2	0.78	1.69	2	0.5	66.86
"CHESNOK"	"Neotoma"	357	365	"Chesnok Peat, Irtysh River"	66.5	60	"Asia"	2089	3.3	29.7	-13.6	13	112	992	1	0.59	2.42	0.72	1.99	1	0.58	3	0.72	2.44	2	0.58	96.16	0.73	76.15	12.3	20.9	-5.8	5	308	636	1618	12.4	20.8	112	992	1	0.49	1.48	2	0.52	85.47	1620	-5.8	5	112	992	2	0.5	1.89	2	0.6	88.17	1549	5.8	28.3	-12.2	13	309	635	1	0.55	2.03	1	0.51	2.82	1	0.31	72.58
"DERPUT"	"Neotoma"	664	682	"Derput"	124.116667	57.033333	"Asia"	1754	3.1	25.2	-16.5	10.8	107	1411	1	0.59	2.43	0.75	1.9	1	0.78	3.3	0.86	2.6	2	0.78	102.86	0.84	89.02	13.2	16.7	-10.8	-3.7	297	530	373	13.2	16.6	192	1356	1	0.15	0.95	2	0.83	95.5	345	-10.8	-3.7	212	904	2	0.43	1.96	1	0.28	88.8	629	5.6	24.3	-14.7	8.9	297	529	2	0.69	2.06	2	0.77	2.75	1	0.27	56.39
"Dlinnoye_Lake"	"Neotoma"	695	715	"Dlinnoye Lake"	-178.84226	67.756725	"Asia"	987	0.9	16.5	-16.5	1.8	109	1058	1	0.28	2.17	0.51	1.79	2	0.45	3.08	0.63	2.54	1	0.17	119.99	0.4	102.04	9.1	10.1	-14.5	-11.9	173	221	55	9.2	10.1	120	658	1	0.18	0.24	1	0.46	98.61	167	-14.4	-11.9	111	320	1	0.44	0.57	1	0.26	42.56	208	3.1	16.1	-15.4	-5	173	220	1	0.41	1.76	2	0.77	1.3	1	0.13	12.28
"EK4"	"Neotoma"	769	788	"Elikchan 4 Lake"	151.883333	60.75	"Asia"	931	0.9	21.5	-16.5	6.4	136	1280	2	0.48	2.57	0.62	2.17	1	0.73	3.15	0.78	2.88	1	0.76	119.07	0.8	109.5	7	16.4	-16.1	-8.5	101	399	603	7.1	16.3	148	1243	1	0.33	1.68	2	0.77	107.1	583	-16.1	-8.6	136	644	1	0.33	1.49	1	0.26	56.2	602	0.9	18.7	-16.5	-7	136	394	1	0.49	2.5	1	0.26	1.71	1	0.25	52.8
"ICDP5011-1"	"Neotoma"	772	791	"Elgygytgyn Stream Section"	172.083333	67.416667	"Asia"	966	0.9	18.3	-16.5	1.9	109	1058	1	0.33	2.26	0.55	1.86	2	0.49	3.05	0.64	2.58	1	0.24	103.25	0.43	89.81	10.9	11.6	-12.4	-10.9	255	287	60	11	11.6	144	606	1	0.11	0.19	1	0.17	86.16	122	-12.4	-10.9	109	391	1	0.19	0.46	2	0.65	47.97	87	6.4	18.3	-16.5	-2.8	256	287	2	0.49	2.18	2	0.8	1.73	1	0.16	9.6
"ELGENNYA"	"Neotoma"	773	792	"Elgennya Lake"	149	62.083333	"Asia"	920	0.9	21.5	-16.5	5.8	136	1128	2	0.48	2.6	0.63	2.18	1	0.66	3.15	0.71	2.92	1	0.66	113.15	0.72	102.96	7.7	13.9	-15.4	-9.3	148	368	429	7.8	13.9	148	1058	1	0.22	1.35	2	0.48	100.83	578	-15.4	-9.5	136	619	1	0.35	1.39	1	0.27	53.46	594	0.9	18.7	-16.5	-7.7	148	368	1	0.5	2.51	1	0.3	1.62	1	0.25	46.47
"ENM109"	"Neotoma"	779	799	"Enmyvaam River, 2.5-3 m terrace"	172.166667	67.433333	"Asia"	965	0.9	18.3	-16.5	1.9	109	1058	1	0.33	2.26	0.55	1.85	2	0.49	3.05	0.64	2.58	1	0.24	103.3	0.43	89.82	10.3	11.7	-14.3	-9.9	221	269	151	10.4	11.6	116	897	1	0.11	0.34	1	0.08	98.67	371	-14.2	-9.9	109	391	1	0.23	1.06	1	0.44	56.15	173	5.9	16.5	-16.5	-2	222	269	1	0.36	1.75	2	0.78	1.9	1	0.22	11.84
"ENMYN"	"Neotoma"	781	801	"Enmynveem River"	166	68.25	"Asia"	1064	0.9	18.7	-16.5	1.9	109	1058	1	0.41	2.38	0.61	1.92	2	0.46	2.89	0.63	2.39	1	0.22	97.46	0.44	82.34	9.7	13	-13	-8.1	204	366	448	9.8	13	116	1058	1	0.13	0.89	1	0.32	107.51	474	-13	-8.2	109	391	1	0.3	1.02	2	0.47	49.58	641	0.9	18.7	-16.5	-2.5	204	365	2	0.51	2.14	2	0.67	1.93	1	0.19	36.28
"ENTARNOY"	"Neotoma"	784	804	"Entarnoye Peat Exposure"	78.333333	59	"Asia"	2041	3.3	33	-15.1	14.8	15	992	1	0.52	3.43	0.72	2.63	2	0.65	3.12	0.77	2.55	2	0.61	102.8	0.79	75.61	7.7	22.4	-13.1	6.7	175	799	1756	7.8	22.4	77	992	1	0.47	2.41	2	0.57	101.72	1853	-12.9	6.6	58	992	1	0.56	2.77	2	0.6	99.82	1861	3.3	28.7	-15.1	13	175	799	2	0.6	2.85	1	0.65	2.98	2	0.56	93.86
"GEK"	"Neotoma"	838	866	"Gek Lake"	147.65	63.383333	"Asia"	928	0.9	21.5	-16.5	4.5	136	1058	2	0.48	2.58	0.64	2.15	1	0.66	3.11	0.71	2.86	1	0.65	110.05	0.72	98.12	9.8	14	-12.9	-10.3	247	328	415	9.8	14	148	1058	1	0.3	1.07	2	0.48	99.78	279	-12.9	-10.3	148	391	1	0.53	0.61	2	0.4	51.21	298	0.9	18.7	-16.5	-7.7	248	325	2	0.56	2.33	2	0.48	1.33	1	0.26	20.66
"GLADKOYE"	"Neotoma"	847	876	"Gladkoye Bog"	83.333333	55	"Asia"	2130	3.3	33	-12.9	14.8	15	992	2	0.53	3.5	0.69	2.85	2	0.61	3.19	0.73	2.63	2	0.69	100.61	0.82	76.61	10.9	21.8	-6.5	5.8	232	691	1604	11	21.7	32	992	1	0.38	2.04	2	0.63	98.44	1597	-6.5	5.8	46	992	1	0.42	2.23	2	0.68	96.3	1632	3.3	28.7	-12.9	13	232	689	2	0.6	2.69	1	0.57	2.77	2	0.55	80.78
"GLUPEAT"	"Neotoma"	851	880	"Peat Exposure, Glukhoye Lake"	149.916667	59.75	"Asia"	998	0.9	22.5	-16.5	8.1	136	1411	2	0.52	2.52	0.64	2.18	2	0.79	3.11	0.81	2.97	1	0.8	127.89	0.84	115.06	11.8	13	-11.5	-9	290	338	137	11.9	12.9	149	1411	1	0.07	0.32	1	0.61	91.33	213	-11.4	-9	154	619	1	0.13	0.4	1	0.17	50.64	123	0.9	17.9	-14.4	-8.7	290	336	2	0.69	2.09	1	0.32	1.03	1	0.21	10.5
"GOLUBOY"	"Neotoma"	939	968	"Goluboye Lake"	152.266667	61.116667	"Asia"	907	0.9	21.5	-16.5	6.4	136	1198	2	0.46	2.59	0.62	2.18	1	0.71	3.13	0.75	2.88	1	0.71	116.21	0.76	106.94	9	15.6	-13.4	-9.1	220	379	519	9.1	15.5	148	1198	1	0.23	1.45	2	0.71	107.38	381	-13.4	-9.1	148	619	1	0.41	0.85	1	0.24	55.98	405	0.9	18.7	-16.5	-7	223	378	2	0.53	2.34	1	0.28	1.69	1	0.12	35.06
"GURSKII"	"Neotoma"	966	997	"Gurskii Peat [Site 4381]"	137.083333	50.066667	"Asia"	1701	7.8	27.1	-16.5	17.7	182	3192	1	0.54	2.27	0.73	1.75	2	0.79	3.51	0.87	2.71	2	0.86	196.86	0.89	175.54	13.6	19.4	-12.9	6.8	156	996	870	13.6	19.3	192	3192	1	0.36	1.23	2	0.86	177.87	1312	-12.6	6.8	182	2192	2	0.73	2.84	2	0.84	150.02	1288	7.8	25.2	-16.5	10.8	182	995	2	0.6	1.93	1	0.72	3.38	2	0.73	102.76
"GYTGYKAI"	"Neotoma"	967	998	"Gytgykai Lake"	175	63.166667	"Asia"	851	0.9	16.5	-16.5	1.9	109	1058	1	0.31	2.18	0.52	1.83	2	0.5	3.11	0.63	2.68	1	0.28	106.91	0.43	95.01	6.4	13.8	-18.1	-5.4	24	501	589	6.5	13.8	112	1058	1	0.16	1.52	2	0.4	106.38	641	-16.5	-5.4	109	502	2	0.5	2.29	2	0.47	61.66	798	0.9	16.5	-16.5	-0.1	109	500	1	0.32	2.21	2	0.56	2.63	1	0.39	70.21
"IGARKA"	"Neotoma"	1108	1141	"Igarka Peat Exposure"	86	67.666667	"Asia"	1570	-2.5	22.2	-18.4	4.3	147	992	2	0.58	2.36	0.69	2.04	1	0.72	2.96	0.81	2.42	2	0.51	105.2	0.7	82.9	5	18.2	-22.6	8.5	30	886	1245	5.1	18.1	147	992	1	0.47	2.3	2	0.56	107.75	1570	-18.4	4.3	147	992	1	0.72	2.96	2	0.51	105.2	1564	-2.5	22.2	-18.4	4.3	147	834	2	0.59	2.36	1	0.72	2.97	2	0.53	100.82
"Ilinka_Terrace"	"Neotoma"	1111	1144	"Il'inka Terrace"	142.166667	47.966667	"Asia"	1368	8.2	27.1	-16.5	17.7	215	3192	2	0.6	2.25	0.75	1.79	2	0.81	3.39	0.88	2.72	2	0.85	219.92	0.88	198.83	16.1	18.4	-3.2	1.1	542	718	414	16.1	18.4	236	3192	1	0.09	0.59	2	0.86	170.68	252	-3.2	1.1	218	2192	1	0.08	1	2	0.74	123.55	171	9.8	23.7	-9.8	9.8	547	711	2	0.68	1.69	2	0.59	2.17	1	0.18	46.74
"Izylmetevskaya"	"Neotoma"	1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	141.966667	48.816667	"Asia"	1363	8.2	26.7	-16.5	17.7	215	3192	2	0.57	2.25	0.73	1.78	2	0.8	3.41	0.88	2.67	2	0.85	209.88	0.88	188.62	15	17.9	-5.5	4.5	464	765	458	15	17.9	236	3192	1	0.1	0.77	2	0.87	172.61	624	-5.3	4.5	215	2192	2	0.64	1.69	2	0.83	136.33	387	9.6	24.2	-9.8	9.8	467	762	1	0.54	1.92	2	0.62	2.24	2	0.64	57.66
"JACKLOND"	"Neotoma"	1124	1158	"Jack London Lake"	149.5	62.166667	"Asia"	920	0.9	21.5	-16.5	5.8	136	1128	2	0.48	2.6	0.63	2.18	1	0.66	3.15	0.71	2.92	1	0.66	113.15	0.72	102.96	10.2	16.1	-13.9	-8.9	193	391	507	10.3	16	148	1058	2	0.41	1.21	2	0.72	100.33	412	-13.8	-8.9	148	619	2	0.47	0.9	1	0.24	55.94	513	0.9	18.7	-16.5	-7	194	391	1	0.49	2.37	1	0.27	1.76	1	0.19	45.41
"Wrangle_Island_JackLondonLake"	"Neotoma"	1126	1161	"Jack London Lake"	179.623611	70.894167	"Asia"	1045	0.9	16.5	-16.5	1.8	109	1033	1	0.32	2.08	0.52	1.75	2	0.47	3	0.65	2.46	1	0.2	100.32	0.43	84.61	7.4	9.2	-16.7	-12.3	116	250	55	7.5	9.2	112	389	1	0.07	0.49	1	0.49	53.1	329	-16.5	-12.3	136	386	1	0.16	0.98	1	0.25	47.88	494	2.7	16.4	-16.1	-2	116	250	1	0.36	2.09	2	0.7	1.53	1	0.14	30.7
