"Event"	"Reference (Event)"	"ID (Site)"	"ID (Dataset)"	"Site"	"Longitude"	"Latitude"	"Continent"	"modern training sites [#], full dataset"	"minimum modern T air (July) [°C], full dataset"	"maximum modern T air (July) [°C], full dataset"	"minimum modern T air (annual mean) [°C], full dataset"	"maximum modern T air (annual mean) [°C], full dataset"	"minimum modern Precip annual total [mm/a], full dataset"	"maximum modern Precip annual total [mm/a], full dataset"	"WA-PLS component T air (July), full dataset"	"WA-PLS r2 observed vs. predicted T air (July), full dataset"	"WA-PLS RMSEP T air (July), full dataset"	"MAT r2 observed vs. predicted T air (July), full dataset"	"MAT RMSEP T air (July), full dataset"	"WA-PLS component T air (annual mean), full dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), full dataset"	"WA-PLS RMSEP T air (annual mean), full dataset"	"MAT r2 observed vs. predicted T air (annual mean), full dataset"	"MAT RMSEP T air (annual mean), full dataset"	"WA-PLS component Precip annual total, full dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, full dataset"	"WA-PLS RMSEP Precip annual total, full dataset"	"MAT r2 observed vs. predicted Precip annual total, full dataset"	"MAT RMSEP Precip annual total, full dataset"	"minimum modern T air (July) [°C], after tailoring"	"maximum modern T air (July) [°C], after tailoring"	"minimum modern T air (annual mean) [°C], after tailoring"	"maximum modern T air (annual mean) [°C], after tailoring"	"minimum modern Precip annual total [mm/a], after tailoring"	"maximum modern Precip annual total [mm/a], after tailoring"	"modern training sites [#], July temperature-tailored dataset"	"minimum modern T air (July) [°C], July temperature-tailored dataset"	"maximum modern T air (July) [°C], July temperature-tailored dataset"	"minimum modern Precip annual total [mm/a], July temperature-tailored dataset"	"maximum modern Precip annual total [mm/a], July temperature-tailored dataset"	"WA-PLS component T air (July), July temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (July), July temperature-tailored dataset"	"WA-PLS RMSEP T air (July), July temperature-tailored dataset"	"WA-PLS component Precip annual total, July temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, July temperature-tailored dataset"	"WA-PLS RMSEP Precip annual total, July temperature-tailored dataset"	"modern training sites [#], annual mean temperature-tailored dataset"	"minimum modern T air (annual mean) [°C], annual mean temperature-tailored dataset"	"maximum modern T air (annual mean) [°C], annual mean temperature-tailored dataset"	"minimum modern Precip annual total [mm/a], annual mean temperature-tailored dataset"	"maximum modern Precip annual total [mm/a], annual mean temperature-tailored dataset"	"WA-PLS component T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS RMSEP T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS component Precip annual total, annual mean temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, annual mean temperature-tailored dataset"	"WA-PLS RMSEP Precip annual total, annual mean temperature-tailored dataset"	"modern training sites [#], annual precipitation-tailored dataset"	"minimum modern T air (July) [°C], annual precipitation-tailored dataset"	"maximum modern T air (July) [°C], annual precipitation-tailored dataset"	"minimum modern T air (annual mean) [°C], annual precipitation-tailored dataset"	"maximum modern T air (annual mean) [°C], annual precipitation-tailored dataset"	"minimum modern Precip annual total [mm/a], annual precipitation-tailored dataset"	"maximum modern Precip annual total [mm/a], annual precipitation-tailored dataset"	"WA-PLS component T air (July), annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (July), annual precipitation-tailored dataset"	"WA-PLS RMSEP T air (July), annual precipitation-tailored dataset"	"WA-PLS component T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS RMSEP T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS component Precip annual total, annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, annual precipitation-tailored dataset"	"WA-PLS RMSEP Precip annual total, annual precipitation-tailored dataset"
"Adycha_River"	"Neotoma"	11	11	"Konus Exposure, Adycha River"	135.583333	67.75	"Asia"	987	-2.5	20.1	-18.4	-0.4	136	1058	2	0.45	2.57	0.61	2.14	1	0.55	2.84	0.63	2.57	1	0.5	97.96	0.63	83.66	7.9	17.1	-14	-10.6	226	313	781	8	17.1	148	1058	2	0.4	1.77	1	0.49	100.06	358	-13.9	-10.6	148	453	1	0.26	0.87	1	0.3	52.84	395	0.9	18.7	-16.5	-7.7	227	312	2	0.6	2.42	1	0.43	1.46	1	0.08	21.78
"AKULININ"	"Neotoma"	19	19	"Akulinin Exposure P1282"	138.55	47.116667	"Asia"	1686	8.2	27.5	-16.5	19.1	196	3486	1	0.55	2.33	0.74	1.77	2	0.79	3.37	0.88	2.64	2	0.85	241.12	0.9	204.74	13.8	17.4	-10.3	-1.1	275	673	389	13.8	17.3	232	2209	2	0.28	0.86	2	0.88	187.51	348	-10.3	-1.1	236	2192	1	0.41	2.22	1	0.35	141.81	737	9.3	27.1	-14.7	13.4	276	672	2	0.68	1.91	2	0.72	3.03	2	0.48	79.43
"ALUT"	"Neotoma"	31	31	"Alut Lake"	152.312778	60.136667	"Asia"	962	0.9	22.5	-16.5	7.1	136	1411	2	0.49	2.54	0.63	2.16	1	0.75	3.2	0.81	2.85	1	0.8	122.64	0.84	110.57	6.3	16	-16	-8.2	94	418	595	6.4	16	148	1411	2	0.38	1.68	2	0.76	111.02	587	-16	-8.3	136	644	1	0.32	1.53	1	0.26	57.9	613	0.9	18.7	-16.5	-3.8	136	412	1	0.49	2.5	1	0.24	1.89	1	0.26	54.97
"AMBA"	"Neotoma"	33	33	"Amba River Exposure 596"	131.816667	43.316667	"Asia"	1599	7.8	28.5	-10	19.1	107	3486	2	0.55	2.21	0.69	1.86	2	0.71	2.93	0.82	2.36	2	0.84	253.19	0.89	209.21	18.6	20.4	2.6	6.4	659	1030	452	18.6	20.4	197	3421	1	0.01	0.49	2	0.84	214.24	542	2.6	6.3	107	2147	1	0.18	1.01	2	0.88	152.17	321	12.9	28.5	-4.6	16	660	1030	2	0.67	1.68	2	0.75	1.7	2	0.39	62.61
"AMGUEMA1"	"Neotoma"	68	68	"Amguema River Valley Exposure 1"	178.7	67.75	"Asia"	986	0.9	16.5	-16.5	1.8	109	1058	1	0.32	2.1	0.52	1.75	2	0.47	3.06	0.64	2.53	1	0.2	107.15	0.41	91.65	8	12.3	-18	-9.2	120	279	419	8	12.2	116	1058	1	0.2	0.96	1	0.29	108.43	507	-16.5	-9.2	109	391	1	0.44	1.39	1	0.37	52.81	536	2.7	16.5	-16.5	-2	121	278	1	0.38	2.04	2	0.72	1.71	1	0.18	35
"AMGUEMA2"	"Neotoma"	69	69	"Amguema River Valley Exposure 2"	178.6	67.666667	"Asia"	983	0.9	16.5	-16.5	1.8	109	1058	1	0.32	2.1	0.52	1.76	2	0.47	3.06	0.64	2.53	1	0.2	107.11	0.41	91.78	9.8	13.6	-16.2	-3.1	122	471	567	9.8	13.5	116	1058	1	0.17	0.94	2	0.32	108.7	900	-16.1	-3.1	109	544	2	0.53	2.47	1	0.32	72.08	909	0.9	16.5	-16.5	-0.7	122	458	1	0.35	2.08	2	0.58	2.44	1	0.29	69.46
"BARABA"	"Neotoma"	228	230	"Lower Barabaschevka River Exposure 594"	131.6	43.133333	"Asia"	1603	8.2	28.5	-10	19.1	107	3486	2	0.55	2.2	0.69	1.84	2	0.71	2.92	0.82	2.35	2	0.84	252.97	0.89	209.06	18.8	21	2.6	7.6	638	1262	474	18.9	20.9	149	3421	1	0.01	0.55	2	0.85	196.78	633	2.6	7.5	107	2547	1	0.25	1.2	2	0.87	182.53	468	12.7	28.5	-8.6	16.5	640	1260	2	0.76	1.7	2	0.8	1.98	2	0.6	118.6
"BELSKALA"	"Neotoma"	251	256	"Belaya Skala Exposure"	134.566667	43.25	"Asia"	1570	8.2	28.5	-10	19.1	123	3486	2	0.55	2.23	0.69	1.86	2	0.71	2.91	0.82	2.34	2	0.84	255.23	0.89	209.72	18	20.5	1.4	6.7	681	1069	527	18.1	20.4	242	3486	1	0.02	0.63	2	0.84	213.2	673	1.4	6.7	123	2209	2	0.29	1.17	2	0.87	162.78	342	8.7	28.5	-4.6	16.1	682	1068	2	0.7	1.75	2	0.78	1.71	2	0.5	75.67
"Indigirka_Lowland"	"Neotoma"	253	259	"Berelyekh River, Indigirka Lowland"	145	70.583333	"Asia"	866	-2.5	18.7	-18.4	-0.4	136	1058	1	0.42	2.59	0.63	2.08	1	0.33	2.74	0.46	2.45	1	0.32	88.17	0.48	76.87	9.3	12.7	-14.2	-11.5	206	305	344	9.3	12.6	148	1058	1	0.23	0.9	1	0.43	79.46	310	-14.2	-11.6	148	386	1	0.14	0.65	1	0.22	49	421	0.9	18.7	-16.5	-5.7	208	305	2	0.59	2.42	2	0.45	1.54	1	0.14	23.02
"BETENK"	"Neotoma"	255	261	"Betenkyos Exposure, Adycha River"	135.583333	67.666667	"Asia"	989	-2.5	20.3	-18.4	-0.2	136	1058	2	0.44	2.58	0.61	2.15	1	0.55	2.84	0.63	2.57	1	0.51	97.97	0.64	84.08	11.3	13.4	-12.8	-11.3	255	299	248	11.3	13.4	148	925	1	0.09	0.52	2	0.54	80.54	135	-12.8	-11.4	148	385	1	0.07	0.4	1	0.3	55.81	227	0.9	18.7	-16.5	-7.7	255	299	1	0.55	2.82	1	0.5	1.32	1	0.12	11.05
