"Dataset_ID"	"Marine"	"Memory"	"Add.surface"	"Resolution.cm"	"Resolution.section"	"Waterline"	"Reservoir"	"Starting.age"	"Acc.mean"	"Hiatus.1"	"Hiatus.2"	"Hiatus.3"	"Add.depth.1"	"Add.age.1"	"Add.error.1"	"Need.calibration.1"	"Add.depth.2"	"Add.age.2"	"Add.error.2"	"Need.calibration.2"	"Add.depth.3"	"Add.age.3"	"Add.error.3"	"Need.calibration.3"	"Add.depth.4"	"Add.age.4"	"Add.error.4"	"Need.calibration.4"	"Add.depth.5"	"Add.age.5"	"Add.error.5"	"Need.calibration.5"	"Add.depth.6"	"Add.age.6"	"Add.error.6"	"Need.calibration.6"	"Add.depth.7"	"Add.age.7"	"Add.error.7"	"Need.calibration.7"	"Add.depth.8"	"Add.age.8"	"Add.error.8"	"Need.calibration.8"	"Add.depth.9"	"Add.age.9"	"Add.error.9"	"Need.calibration.9"	"Add.depth.10"	"Add.age.10"	"Add.error.10"	"Need.calibration.10"	"Add.depth.11"	"Add.age.11"	"Add.error.11"	"Need.calibration.11"	"Add.depth.12"	"Add.age.12"	"Add.error.12"	"Need.calibration.12"	"Add.depth.13"	"Add.age.13"	"Add.error.13"	"Need.calibration.13"	"Add.depth.14"	"Add.age.14"	"Add.error.14"	"Need.calibration.14"	"Add.depth.15"	"Add.age.15"	"Add.error.15"	"Need.calibration.15"	"Add.depth.16"	"Add.age.16"	"Add.error.16"	"Need.calibration.16"	"Keep.age.1"	"Keep.age.2"	"Keep.age.3"	"Keep.age.4"	"Keep.age.5"	"Keep.age.6"	"Delete.depth.1"	"Delete.depth.2"	"Delete.depth.3"	"Delete.depth.4"	"Delete.depth.5"	"Delete.depth.6"	"Delete.depth.7"	"Delete.depth.8"	"Delete.depth.9"	"Delete.depth.10"	"Delete.depth.11"	"Delete.depth.12"	"Delete.depth.13"	"Delete.depth.14"	"Delete.depth.15"	"Delete.depth.16"	"Delete.depth.17"	"Delete.depth.18"
7	FALSE	0.7	TRUE	NA	60	NA	NA	-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	FALSE	0.7	TRUE	NA	15	NA	1200	-40	NA	NA	NA	NA	402	4985	180	TRUE	477.5	5555	85	TRUE	526	6240	235	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.5	103	402	477.5	526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	FALSE	0.7	TRUE	NA	15	2	NA	-50	NA	NA	NA	NA	200	4000	500	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	FALSE	0.7	TRUE	NA	15	NA	NA	1000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	FALSE	0.7	TRUE	10	NA	NA	NA	-20	40	NA	NA	NA	576	10680	280	TRUE	508	7950	85	TRUE	538	8160	110	TRUE	541	8450	160	TRUE	543	8550	110	TRUE	548	9180	110	TRUE	553	8980	120	TRUE	562	9590	120	TRUE	564.5	9590	160	TRUE	567.5	9880	160	TRUE	570.5	9920	150	TRUE	573	10430	180	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	FALSE	0.7	TRUE	10	NA	NA	NA	-50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	FALSE	0.7	TRUE	10	NA	NA	NA	-23	NA	NA	NA	NA	191	2650	100	TRUE	296	3750	100	TRUE	121	1950	100	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	FALSE	0.7	TRUE	10	NA	NA	NA	-50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	255	265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	FALSE	0.3	TRUE	NA	60	NA	NA	-25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	FALSE	0.3	FALSE	NA	15	NA	NA	NA	NA	NA	NA	NA	0	3800	200	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
